num_cities,pop_size,generations,mutation_rate,num_parents,best_distance,execution_time_seconds
50,100,100,0.01,20,10.1082,2.665
50,100,100,0.05,10,10.8395,2.5767
50,100,100,0.05,20,9.5697,2.6271
50,100,200,0.01,10,11.2266,4.7957
50,100,200,0.01,20,10.8289,5.1427
50,100,200,0.05,10,9.4967,5.2307
50,100,200,0.05,20,9.5796,5.92
50,1000,100,0.01,10,9.8506,36.7155
50,1000,100,0.01,20,7.7951,34.8621
50,1000,100,0.05,10,6.6357,34.3919
50,1000,100,0.05,20,8.1111,35.5065
50,1000,200,0.01,10,7.9959,68.8791
50,1000,200,0.01,20,8.0075,70.7692
50,1000,200,0.05,10,7.8396,72.4666
50,1000,200,0.05,20,8.6775,81.3719
